domain,name,portrait_url,affiliation,id,label,gender,citations,h-index,co_author
social science,Michael Hogg,https://scholar.google.co.uk/citations?view_op=medium_photo&user=Er6iV3kAAAAJ&citpid=2,"Professor of Social Psychology, Claremont Graduate University",Er6iV3kAAAAJ,"['psychology', 'social psychology', 'leadership', 'social identity', 'group processes']",male,80231,114,
social science,Steven Pinker,https://scholar.google.co.uk/citations?view_op=medium_photo&user=NYYzMQQAAAAJ&citpid=2,Harvard University,NYYzMQQAAAAJ,"['psychology', 'linguistics', 'cognitive science', 'evolution']",male,79464,88,
social science,John P. Meyer,https://scholar.google.co.uk/citations?view_op=medium_photo&user=YUHwYTAAAAAJ&citpid=2,University of Western Ontario,YUHwYTAAAAAJ,['Psychology'],male,78787,58,
social science,Hal Varian,https://scholar.google.co.uk/citations?view_op=medium_photo&user=WbYQGjcAAAAJ&citpid=2,"Chief Economist, Google",WbYQGjcAAAAJ,"['economics', 'information technology']",male,73799,91,
social science,Nikolas Rose,https://scholar.google.co.uk/citations?view_op=medium_photo&user=S8KKJMMAAAAJ&citpid=2,"Professor of Sociology, King's College London",S8KKJMMAAAAJ,['Sociology'],male,73670,83,
social science,Franz Petermann,https://scholar.google.co.uk/citations?view_op=medium_photo&user=0ed5ofkAAAAJ&citpid=2,"Professor of Clinical Psychology, University of Bremen",0ed5ofkAAAAJ,"['Clinical Psychology', 'Psychotherapy', 'Psychology', 'Diagnostics', 'Developmental Psychology']",male,73639,81,
social science,Peter CB Phillips,https://scholar.google.co.uk/citations?view_op=medium_photo&user=TBvhBwgAAAAJ&citpid=2,Yale University,TBvhBwgAAAAJ,"['Econometrics', 'Applied Econometrics', 'Economics', 'Statistics', 'Stochastic Processes']",male,72025,92,
social science,Gene Grossman,https://scholar.google.co.uk/citations?view_op=medium_photo&user=f46No0UAAAAJ&citpid=2,Princeton University,f46No0UAAAAJ,"['economics', 'international trade']",male,71471,73,
social science,Avinash Dixit,https://scholar.google.co.uk/citations?view_op=medium_photo&user=_IqibU4AAAAJ&citpid=2,Princeton University,_IqibU4AAAAJ,"['Economics', 'Political Science']",male,71180,84,
social science,Anthony G. Greenwald,https://scholar.google.co.uk/citations?view_op=medium_photo&user=U24uY0AAAAAJ&citpid=2,"Professor of Psychology, University of Washington",U24uY0AAAAAJ,"['Psychology', 'social cognition', 'social psychology', 'cognitive psychology', 'methodology']",male,70772,100,
social science,N. Gregory Mankiw,https://scholar.google.co.uk/citations?view_op=medium_photo&user=Ga0i--0AAAAJ&citpid=2,"Robert M Beren Professor of Economics, Harvard University",Ga0i--0AAAAJ,"['Economics', 'Macroeconomics']",male,70566,87,
social science,Barbara L. Fredrickson,https://scholar.google.co.uk/citations?view_op=medium_photo&user=jwChV9IAAAAJ&citpid=2,"Kenan Distinguished Professor, University of North Carolina, Chapel Hill",jwChV9IAAAAJ,"['Social Psychology', 'Emotion', 'Positive Psychology', 'Psychology']",female,67783,78,
social science,K Anders Ericsson,https://scholar.google.co.uk/citations?view_op=medium_photo&user=Ym0clGUAAAAJ&citpid=2,"Professor of Psychology, Florida State University",Ym0clGUAAAAJ,"['psychology', 'education', 'expertise', 'cognitive psychology', 'medical education']",male,67216,86,
social science,"Ormel, Johan (Hans)",https://scholar.google.co.uk/citations?view_op=medium_photo&user=GMREZbsAAAAJ&citpid=5,"University of Groningen, University Medical Center Groningen",GMREZbsAAAAJ,"['psychiatry', 'clinical psychology', 'personality', 'stress', 'sociology']",male,67149,122,
social science,Pietro Perona,https://scholar.google.co.uk/citations?view_op=medium_photo&user=j29kMCwAAAAJ&citpid=4,"Allen E. Puckett Professor, California Institute of Technology",j29kMCwAAAAJ,"['Computer Vision', 'Machine Learning', 'Applied Mathematics', 'Neuroscience', 'Psychology']",male,66896,94,
social science,Michael Neale,https://scholar.google.co.uk/citations?view_op=medium_photo&user=nV2abUgAAAAJ&citpid=2,"Professor of Psychiatry & Human Genetics, Virginia Commonwealth University",nV2abUgAAAAJ,"['Psychology', 'Psychometrics', 'Neuroscience', 'Substance Abuse & Dependence', 'Photography']",male,66841,120,
social science,Eric Hanushek,https://scholar.google.co.uk/citations?view_op=medium_photo&user=Sl-ouYgAAAAJ&citpid=4,"Senior Fellow, Hoover Institution, Stanford University",Sl-ouYgAAAAJ,"['economics', 'economics of education', 'education policy', 'labor economics', 'economic growth']",male,66004,102,
social science,Harold Demsetz,https://scholar.google.co.uk/citations?view_op=medium_photo&user=ZVUFe_UAAAAJ&citpid=2,UCLA,ZVUFe_UAAAAJ,['Economics'],male,65890,46,
social science,Anthony Jorm,https://scholar.google.co.uk/citations?view_op=medium_photo&user=NYllsJAAAAAJ&citpid=3,"Professorial Fellow, University of Melbourne, Australia",NYllsJAAAAAJ,"['Mental Health', 'Psychology', 'Psychiatry', 'Public Health', 'Population Health']",male,64743,126,
social science,Seymour Martin Lipset,https://scholar.google.co.uk/citations?view_op=medium_photo&user=ey1py2IAAAAJ&citpid=2,"Sociology, George Mason University, Hoover Institution",ey1py2IAAAAJ,"['sociology', 'political sociology']",male,63542,87,
social science,Igor Rudan,https://scholar.google.co.uk/citations?view_op=medium_photo&user=8cEHTlUAAAAJ&citpid=2,"Director, Centre for Global Health Research, The Usher Institute, University of Edinburgh",8cEHTlUAAAAJ,"['Global Health', 'Anthropology', 'Genetics', 'Molecular Medicine']",male,63111,107,
social science,Craig Calhoun,https://scholar.google.co.uk/citations?view_op=medium_photo&user=5sfThRcAAAAJ&citpid=2,"Director, London School of Economics and Political Science",5sfThRcAAAAJ,"['Sociology', 'Social theory', 'political theory', 'comparative politics', 'social movements']",male,62959,75,
social science,Lawrence Katz,https://scholar.google.co.uk/citations?view_op=medium_photo&user=MAqEdFMAAAAJ&citpid=2,"Allison Professor of Economics, Harvard University",MAqEdFMAAAAJ,"['Economics', 'Labor Economics', 'Economics of Education', 'Inequality', 'Economic History']",male,62380,100,
social science,Richard Blundell,https://scholar.google.co.uk/citations?view_op=medium_photo&user=ZCkKBLQAAAAJ&citpid=9,University College London,ZCkKBLQAAAAJ,"['Economics', 'Microeconometrics', 'Labor Economics', 'Consumer Behaviour', 'Public Finance']",male,61500,88,
social science,Michael P Leiter,https://scholar.google.co.uk/citations?view_op=medium_photo&user=JBuUoUsAAAAJ&citpid=2,"Professor of Organizational Psychology, Deakin University, Geelong, Australia",JBuUoUsAAAAJ,"['psychology', 'work psychology', 'burnout', 'stress', 'civility']",male,60647,74,
social science,George Herbert Mead,https://scholar.google.co.uk/citations?view_op=medium_photo&user=cPN5-9cAAAAJ&citpid=2,"Sociology, University of Chicago",cPN5-9cAAAAJ,"['sociology', 'philosophy', 'social psychology']",male,59634,46,
social science,Elizabeth F. Loftus,https://scholar.google.co.uk/citations?view_op=medium_photo&user=ZNoHqr8AAAAJ&citpid=2,"Psychology and Social Behavior, University of California, Irvine",ZNoHqr8AAAAJ,"['Psychology', 'Cognitive psychology', 'Memory', 'Eyewitness testimony', 'psychology and law']",female,58313,104,
social science,"Glen H. Elder, Jr.",https://scholar.google.co.uk/citations?view_op=medium_photo&user=9dQbilMAAAAJ&citpid=2,"Howard W. Odum Distinguished Research Professor of Sociology, Carolina Population Ctr",9dQbilMAAAAJ,"['Life Course', 'Sociology']""",male,57019,115,
social science,Howard E. Aldrich,https://scholar.google.co.uk/citations?view_op=medium_photo&user=Z9VD6-AAAAAJ&citpid=3,"Kenan Professor of Sociology, University of North Carolina at Chapel Hill",Z9VD6-AAAAAJ,"['sociology', 'entrepreneurship', 'organizations', 'social inequality', 'organizational sociology']",male,54961,82,
social science,Mark D'Esposito,https://scholar.google.co.uk/citations?view_op=medium_photo&user=s7gOlh8AAAAJ&citpid=4,"Professor of Neuroscience and Psychology, University of California,Berkeley",s7gOlh8AAAAJ,"['Neuroscience', 'Neurology', 'Psychology']",male,53727,118,
social science,Rom Harr,https://scholar.google.co.uk/citations?view_op=medium_photo&user=stDFY-MAAAAJ&citpid=2,"Georgetown University, Oxford University",stDFY-MAAAAJ,"['philosophy of science', 'philosophy of social science', 'social psychology', 'psychology', 'philosophy']",male,53694,83,
social science,Harvey Sacks,https://scholar.google.co.uk/citations?view_op=medium_photo&user=V3CRcrYAAAAJ&citpid=2,"Late of the University of California, Irvine",V3CRcrYAAAAJ,"['Conversation Analysis', 'Ethnomethodology', 'social interaction', 'sociology']",male,53553,38,
social science,Richard B. Freeman,https://scholar.google.co.uk/citations?view_op=medium_photo&user=u-5ncqYAAAAJ&citpid=4,Harvard University and NBER,u-5ncqYAAAAJ,"['Economics', 'engineering workforce', 'shared capitalism']",male,53103,111,
social science,Erik Brynjolfsson,https://scholar.google.co.uk/citations?view_op=medium_photo&user=lqyGZpQAAAAJ&citpid=4,"Professor of Management, MIT; Research Associate National Bureau of Economic Research",lqyGZpQAAAAJ,"['Economics', 'Information Economics', 'Economics of information systems', 'Productivity']",male,53078,74,
social science,Shinobu Kitayama,https://scholar.google.co.uk/citations?view_op=medium_photo&user=mWGwXc0AAAAJ&citpid=6,"Robert B. Zajonc Collegiate Professor of Psychology, University of Michigan",mWGwXc0AAAAJ,"['Psychology', 'Social Psychology', 'Social Neuroscience', 'Emotion', 'Culture']",male,52970,73,
social science,John B. Taylor,https://scholar.google.co.uk/citations?view_op=medium_photo&user=HURCElMAAAAJ&citpid=2,"Raymond Professor of Economics, Stanford University",HURCElMAAAAJ,"['Economics', 'Monetary economics']",male,52316,87,
social science,Robert S. Pindyck,https://scholar.google.co.uk/citations?view_op=medium_photo&user=RiJSLsoAAAAJ&citpid=2,"Bank of Tokyo Mitsubishi Professor of Economics and Finance, Sloan School78,78,social ",RiJSLsoAAAAJ, ['Economics'],male,52176,67,
social science,Daniel Kaufmann,https://scholar.google.co.uk/citations?view_op=medium_photo&user=wmB0Y8QAAAAJ&citpid=2,"Natural Resource Governance Institute (NRGI), Non-resident Scholar Brookings",wmB0Y8QAAAAJ,"['Economics', 'Governance', 'Corruption', 'Natural Resources', 'Development']",male,51079,80,
social science,Geraldine Dawson,https://scholar.google.co.uk/citations?view_op=medium_photo&user=mDxFjDsAAAAJ&citpid=2,Duke University,mDxFjDsAAAAJ,"['neuroscience', 'psychology', 'autism']",female,50998,112,
social science,Armen Alchian,https://scholar.google.co.uk/citations?view_op=medium_photo&user=Y-b6uCUAAAAJ&citpid=2,UCLA,Y-b6uCUAAAAJ,['Economics'],male,50257,37,
social science,Kent C Berridge,https://scholar.google.co.uk/citations?view_op=medium_photo&user=WIRQRN8AAAAJ&citpid=3,"James Olds Distinguished University Professor of Psychology and Neuroscience, University",WIRQRN8AAAAJ,"['psychology', 'affective neuroscience', 'motivation', 'emotion', 'addiction']",male,50019,93,
social science,Dorothy VM Bishop,https://scholar.google.co.uk/citations?view_op=medium_photo&user=6nqXjKIAAAAJ&citpid=6,"Experimental psychology, University of Oxford",6nqXjKIAAAAJ,"['Psychology', 'Neuroscience', 'Language', 'Developmental disorders']",female,49845,117,
social science,Peter Evans,https://scholar.google.co.uk/citations?view_op=medium_photo&user=J27wOrMAAAAJ&citpid=2,"Professor of Sociology, University of California, Berkeley",J27wOrMAAAAJ,"['Sociology', 'Economic Development', 'Politics of Globalization']",male,49486,72,
social science,Alfred Marshall,https://scholar.google.co.uk/citations?view_op=medium_photo&user=6PbrMlIAAAAJ&citpid=2,University of Cambridge,6PbrMlIAAAAJ,['Economics'],male,49369,50,
social science,Francis Diebold,https://scholar.google.co.uk/citations?view_op=medium_photo&user=2qTa_4UAAAAJ&citpid=2,"Professor of Economics, University of Pennsylvania",2qTa_4UAAAAJ,"['Economics', 'econometrics', 'time series', 'statistics']",male,49198,89,
social science,Nikos Logothetis,https://scholar.google.co.uk/citations?view_op=medium_photo&user=aK4K5e8AAAAJ&citpid=4,"Visiting Professor of Neuroscience, Stanford University",aK4K5e8AAAAJ,"['Neuroscience', 'Networks', 'Biophysics', 'Psychology', 'Computation']",male,48531,104,
social science,Ernest Gellner,https://scholar.google.co.uk/citations?view_op=medium_photo&user=0L3inr0AAAAJ&citpid=2,"London School of Economics, University of Cambridge and Central European University",0L3inr0AAAAJ,"['Anthropology', 'Nationalism', 'Philosophy', 'Sociology']",male,48444,65,
social science,J Douglas Bremner,https://scholar.google.co.uk/citations?view_op=medium_photo&user=9EDIUOUAAAAJ&citpid=2,Emory University,9EDIUOUAAAAJ,"['psychiatry', 'psychology', 'PTSD', 'depression', 'cardiovascular disease']",male,48261,112,
social science,Andy Young,https://scholar.google.co.uk/citations?view_op=medium_photo&user=zQk4IQYAAAAJ&citpid=10,"AW Young, Department of Psychology, University of York, England",zQk4IQYAAAAJ,"['Face perception', 'face recognition', 'facial expressions', 'cognitive psychology', 'psychology']",male,47232,101,
social science,Manuel Arellano,https://scholar.google.co.uk/citations?view_op=medium_photo&user=o-fz7uYAAAAJ&citpid=2,"CEMFI, Madrid",o-fz7uYAAAAJ,"['economics', 'econometrics', 'labor economics']",male,47027,37,
social science,George Borjas,https://scholar.google.co.uk/citations?view_op=medium_photo&user=Patm-BEAAAAJ&citpid=2,Harvard Kennedy School,Patm-BEAAAAJ,"['Labor Economics', 'Economics']",male,46997,85,
social science,Josh Lerner,https://scholar.google.co.uk/citations?view_op=medium_photo&user=LvT9KkMAAAAJ&citpid=2,"Harvard Business School, Harvard University",LvT9KkMAAAAJ,"['venture capital and private equity', 'patents', 'innovation', 'economics', 'open source']",male,46937,84,
social science,Todd Heatherton,https://scholar.google.co.uk/citations?view_op=medium_photo&user=6jXH1LYAAAAJ&citpid=3,Retired from Dartmouth College,6jXH1LYAAAAJ,"['psychology', 'social neuroscience', 'social psychology', 'personality psychology']",male,46087,88,
social science,Paul A David,https://scholar.google.co.uk/citations?view_op=medium_photo&user=Xj2qmLUAAAAJ&citpid=2,Stanford University,Xj2qmLUAAAAJ,"['Economics', 'Economic History', 'Economics of Science']",male,45648,85,
social science,David Hensher,https://scholar.google.co.uk/citations?view_op=medium_photo&user=22m62pAAAAAJ&citpid=1,"Professor of Management, Founding Director of ITLS, University of Sydney",22m62pAAAAAJ,"['Transport', 'logistics', 'economics', 'choice modelling']",male,45379,94,
social science,Nicholas A. Christakis,https://scholar.google.co.uk/citations?view_op=medium_photo&user=sR_OzkgAAAAJ&citpid=2,"Professor, Yale University",sR_OzkgAAAAJ,"['network science', 'sociology', 'public health', 'behavior genetics', 'economics']",male,45357,88,
social science,Paul Lazarsfeld,https://scholar.google.co.uk/citations?view_op=medium_photo&user=0CmGATYAAAAJ&citpid=2,"Sociology, Columbia University",0CmGATYAAAAJ,"['sociology', 'empirical sociology']",male,45347,66,
social science,Jianqing Fan,https://scholar.google.co.uk/citations?view_op=medium_photo&user=i39wDTcAAAAJ&citpid=2,"Professor of Statistics and Finance, Princeton University",i39wDTcAAAAJ,"['Statistics', 'Machine Learning', 'Biostatistics', 'Finance', 'Economics']",male,44903,85,
social science,Stijn Claessens,https://scholar.google.co.uk/citations?view_op=medium_photo&user=-WNm38sAAAAJ&citpid=2,Bank for International Settlements,#NAME?,"['economics', 'finance']",male,44497,92,
social science,Stephen Polasky,https://scholar.google.co.uk/citations?view_op=medium_photo&user=_4Q9rtUAAAAJ&citpid=2,Regents Professor & Fesler-Lampert Professor of Ecol/Env Economics University,_4Q9rtUAAAAJ,"['economics', 'ecology', 'environmental science', 'conservation biology']",male,44268,88,
social science,Timothy Besley,https://scholar.google.co.uk/citations?view_op=medium_photo&user=sacF4dwAAAAJ&citpid=2,LSE,sacF4dwAAAAJ,['economics'],male,44087,84,
social science,D Wegner,https://scholar.google.co.uk/citations?view_op=medium_photo&user=QZCy54UAAAAJ&citpid=3,"Professor of Psychology, Harvard University",QZCy54UAAAAJ,['psychology'],male,43974,80,
social science,Susan Michie,https://scholar.google.co.uk/citations?view_op=medium_photo&user=Pq0XMWgAAAAJ&citpid=2,University College London,Pq0XMWgAAAAJ,['Psychology'],female,42333,81,
social science,Andrew Oswald,https://scholar.google.co.uk/citations?view_op=medium_photo&user=0qXvmz4AAAAJ&citpid=3,"Professor of Economics, University of Warwick",0qXvmz4AAAAJ,"['Economics', 'Human Well-being', 'Behavioural Science']",male,41946,79,
social science,Ulman Lindenberger,https://scholar.google.co.uk/citations?view_op=medium_photo&user=wxlDzAEAAAAJ&citpid=2,Max Planck Institute for Human Development,wxlDzAEAAAAJ,"['Psychology', 'Developmental Psychology', 'Cognitive Science', 'Behavioural Science']",male,41739,194,
social science,Kathleen D. Vohs,https://scholar.google.co.uk/citations?view_op=medium_photo&user=7az4bqkAAAAJ&citpid=2,,7az4bqkAAAAJ,"['Psychology', 'Marketing']",female,41688,80,
social science,David Cutler,https://scholar.google.co.uk/citations?view_op=medium_photo&user=QsSr6xEAAAAJ&citpid=2,"Otto Eckstein Professor of Applied Economics, Harvard University",QsSr6xEAAAAJ,['Economics'],male,40788,94,
social science,Robert Sugden,https://scholar.google.co.uk/citations?view_op=medium_photo&user=O0kfGeQAAAAJ&citpid=1,"Professor of Economics, University of East Anglia",O0kfGeQAAAAJ,"['Economics', 'philosophy']",male,39916,78,
social science,W. Brian Arthur,https://scholar.google.co.uk/citations?view_op=medium_photo&user=eczJRhQAAAAJ&citpid=2,Santa Fe Institute,eczJRhQAAAAJ,"['economics', 'complexity', 'technology']",male,39821,47,
social science,Michael Storper,https://scholar.google.co.uk/citations?view_op=medium_photo&user=-j3tHfMAAAAJ&citpid=3,London School of Economics and Political Science,#NAME?,"['geography', 'economics', 'development', 'cities', 'regions']",male,39590,75,
social science,Brian Nosek,https://scholar.google.co.uk/citations?view_op=medium_photo&user=ztt_j28AAAAJ&citpid=3,University of Virginia; Center for Open Science,ztt_j28AAAAJ,"['Psychology', 'social psychology', 'social cognition', 'methodology', 'open science']",male,38725,74,
